brightavg:
021.000,019.000,020.857,101.571,185.714,012.857,013.000,020.000,100.857,182.286,021.000,026.000,022.000,103.286,187.857,018.000,021.000,021.000,105.286,191.429,018.143,021.857,021.000,111.000,197.429,018.000,022.000,020.429,111.286,198.571,020.000,025.000,020.000,113.000,190.286,017.143,021.000,019.143,110.286,194.714,
016.000,028.000,134.000,239.286,255.000,013.857,016.000,122.714,237.286,255.000,026.000,027.000,126.714,237.857,255.000,020.000,029.000,151.429,246.286,255.000,021.000,027.000,150.429,243.000,255.000,020.000,028.000,147.571,244.000,255.000,025.000,027.000,141.714,242.286,254.000,019.286,024.000,128.143,241.857,254.000,
019.714,065.286,249.000,254.286,253.000,013.000,066.857,247.000,255.000,251.000,026.143,076.714,251.000,255.000,252.000,018.857,076.857,243.429,255.000,254.000,018.000,067.429,240.714,255.000,253.000,018.000,064.857,243.000,254.000,254.000,026.000,065.143,236.143,254.000,253.000,018.000,062.143,248.000,254.000,253.000,
016.000,017.000,090.286,222.571,254.000,010.000,014.000,097.000,227.714,253.000,020.000,019.000,099.571,224.857,254.000,017.000,018.000,088.143,223.286,253.000,017.000,018.000,086.857,222.714,253.000,019.000,018.000,087.000,222.000,254.000,020.000,018.000,084.000,224.143,253.000,017.000,018.000,086.000,224.000,253.000,
024.000,019.143,020.857,068.000,146.429,009.000,013.000,017.857,075.000,146.714,018.000,016.000,017.000,074.429,140.143,017.000,016.000,018.000,076.286,151.571,017.000,016.000,018.000,074.714,138.429,017.000,015.000,016.000,071.000,141.000,018.000,015.000,016.000,069.714,141.714,017.000,015.000,017.000,068.286,144.143,
016.000,022.000,038.000,122.000,101.429,016.143,024.000,035.143,113.429,140.000,016.000,024.000,039.000,113.714,130.000,017.000,025.000,041.000,123.286,150.714,016.857,025.000,041.000,128.286,126.571,016.000,024.000,040.000,138.429,138.143,017.000,025.000,041.429,137.000,128.000,017.000,025.000,041.000,140.000,177.857,
026.000,088.286,177.286,244.286,236.000,024.857,083.000,172.143,247.000,248.000,024.000,086.000,175.714,248.000,251.000,028.857,102.000,196.714,244.571,251.000,027.000,097.429,193.286,239.714,207.714,025.000,098.143,189.857,250.000,251.000,027.286,099.286,191.571,250.714,254.000,026.000,090.143,179.857,249.000,252.000,
116.143,238.000,224.429,213.286,181.429,113.857,230.714,221.286,231.571,245.000,113.571,233.571,227.143,236.000,251.000,120.429,240.429,227.429,238.857,253.000,120.000,238.000,236.000,236.857,253.000,114.571,238.000,233.714,223.286,156.429,116.143,231.000,228.286,238.857,251.286,117.000,228.857,232.286,237.000,252.143,
043.000,131.000,215.286,239.429,235.000,042.286,141.143,218.571,212.714,167.143,043.000,135.429,211.571,239.857,233.286,036.857,119.286,207.857,242.000,252.000,038.571,121.286,205.000,239.143,244.714,034.000,113.000,208.000,238.143,246.000,034.714,114.714,208.571,244.143,237.857,044.429,132.429,211.429,242.714,250.000,
022.000,029.857,042.000,166.000,195.000,020.000,030.000,043.714,158.571,179.571,020.000,029.429,043.714,159.857,143.429,021.000,029.857,041.000,157.714,200.143,021.000,030.000,041.000,154.000,156.000,020.000,028.000,040.000,154.000,186.000,021.000,029.000,042.000,156.286,163.286,022.000,030.000,042.143,163.143,182.857,
